,gene_name,Accuracy,Mutation_frequency
0,PIK3CA,0.7142857142857143,0.2919633774160733
1,TP53,0.6845238095238095,0.2594099694811801
2,NCOR1,0.8928571428571429,0.03763987792472025
3,FAT3,0.9523809523809523,0.03153611393692777
4,PTEN,0.9226190476190477,0.030518819938962362
5,AKT1,0.9761904761904762,0.02441505595116989
6,NF1,0.9642857142857143,0.024415055951169887
7,ERBB2,0.9821428571428571,0.02339776195320448
8,DCHS2,0.9583333333333334,0.02136317395727365
9,FAT1,0.9642857142857143,0.02136317395727365
